weapon,ammo,damage,damage_type,capacity
pistol,pistol_clip,26,armor_piercing,12
rifle,rifle_clip,30,armor_piercing,20
heavy_cannon,heavy_cannon_ap,56,armor_piercing,6
heavy_cannon,heavy_cannon_he,52,high_explosive,6
heavy_cannon,heavy_cannon_inc,60,incendiary,6
auto_cannon,auto_cannon_ap,42,armor_piercing,14
auto_cannon,auto_cannon_he,44,high_explosive,14
auto_cannon,auto_cannon_inc,48,incendiary,14
rocket_launcher,small_rocket,75,high_explosive,1
rocket_launcher,large_rocket,100,high_explosive,1
rocket_launcher,incendiary_rocket,90,incendiary,1
stun_rod,stun_rod,65,stun,
grenade,grenade,50,high_explosive,1
proximity_grenade,proximity_grenade,70,high_explosive,1
high_explosive,high_explosive,110,high_explosive,1
laser_pistol,laser_pistol,46,laser,255
laser_rifle,laser_rifle,60,laser,255
heavy_laser,heavy_laser,120,laser,255
plasma_pistol,plasma_pistol_clip,52,plasma,26
plasma_rifle,plasma_rifle_clip,80,plasma,28
heavy_plasma,heavy_plasma_clip,115,plasma,35
alien_grenade,alien_grenade,90,high_explosive,1
small_launcher,stun_bomb,90,stun,1
blaster_launcher,blaster_bomb,200,high_explosive,1
cannon_turret,hwp_cannon_shell,60,armor_piercing,30
rocket_turret,hwp_rocket,85,high_explosive,8
laser_turret,laser_beam,110,laser,255
plasma_turret,plasma,110,plasma,255
fusion_turret,hwp_fusion_bomb,140,high_explosive,8
