weapon,fire_mode,time_units,accuracy
dart_gun,snapshot,20,40
dart_gun,aimed,50,80
jet_harpoon,auto,40,40
jet_harpoon,snapshot,35,60
jet_harpoon,aimed,70,90
gas_cannon,snapshot,40,60
gas_cannon,aimed,75,90
hidro_jet_cannon,auto,40,40
hidro_jet_cannon,snapshot,35,50
hidro_jet_cannon,aimed,80,80
magna_blast_grenade,grenade,75,65
particle_disturbance_grenade,grenade,75,65
magna_pack_explosive,grenade,75,65
sonic_pulser,grenade,75,65
gauss_pistol,auto,30,30
gauss_pistol,snapshot,25,40
gauss_pistol,aimed,50,70
gauss_rifle,auto,40,50
gauss_rifle,snapshot,30,65
gauss_rifle,aimed,60,100
heavy_gauss,snapshot,40,50
heavy_gauss,aimed,80,90
sonic_pistol,snapshot,30,65
sonic_pistol,aimed,50,85
sonic_blasta_rifle,snapshot,40,75
sonic_blasta_rifle,aimed,60,110
sonic_cannon,snapshot,50,80
sonic_cannon,aimed,70,115
torpedo_launcher,snapshot,40,50
torpedo_launcher,aimed,80,110
thermal_shok_launcher,snapshot,50,70
thermal_shok_launcher,aimed,70,120
disruptor_pulse_launcher,aimed,75,120
thermal_tazer,melee,40,100
vibro_blade,melee,10,150
thermic_lance,melee,15,160
heavy_thermic_lance,melee,20,160
aqua_jet_cannon_turret,snapshot,45,55
aqua_jet_cannon_turret,aimed,75,115
gas_cannon_turret,snapshot,33,60
gas_cannon_turret,aimed,80,90
gauss_cannon_turret,snapshot,33,50
gauss_cannon_turret,aimed,75,85
sonic_cannon_turret,snapshot,30,85
sonic_cannon_turret,aimed,60,100
pwt_cannon_turret,aimed,66,100
